"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Alan Reuber","Texas A&M",78,323,5.49,29,26,98,7.95,4.91,"OG",2004,300,0,0
"Andrae Thurman","Arizona",71,192,4.54,34.5,NA,121,7.31,4.3,"WR",2004,300,0,0
"Andrew Shull","Kansas State",77,265,4.9,30.5,16,107,7.46,4.28,"DE",2004,300,0,0
"Anthony Herrera","Tennessee",74,315,5.2,NA,NA,NA,NA,NA,"OG",2004,300,0,0
"Antonio Hall","Kentucky",75,317,5.54,26.5,27,101,8.12,4.55,"OG",2004,300,0,0
"Arnold Parker","Utah",74,213,4.54,35.5,18,120,6.98,4.12,"S",2004,300,0,0
"Adimchinobe Echemandu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,208,2,1
"Adrian Jones","Kansas",76,296,4.97,31,27,114,7.81,4.58,"OT",2004,132,14,1
"Adrien Clarke","Ohio State",77,329,5.52,26,NA,102,7.9,4.74,"OG",2004,227,8,1
"Ahmad Carroll","Arkansas",70,195,4.34,41,15,128,NA,NA,"CB",2004,25,15,1
"Alex Lewis","Wisconsin",72,227,4.78,34.5,25,121,7.06,4.28,"OLB",2004,140,8,1
"Alex Stepanovich","Ohio State",75,304,5.29,25.5,NA,96,7.64,4.44,"C",2004,100,15,1
"Alfonso Marshall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,215,1,1
"Amon Gordon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,161,5,1
"Andre Sommersell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,255,0,1
"Andy Lee","Pittsburgh",73,207,5,NA,NA,NA,NA,NA,"P",2004,188,34,1
"Anthony Maddox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,118,8,1
"Antonio Smith","Oklahoma State",75,274,5.03,33,24,108,NA,4.75,"DE",2004,135,57,1
"Antwan Odom","Alabama",78,274,4.71,37,21,114,7.3,4.44,"DE",2004,57,24,1
"B.J. Sander","Ohio State",76,219,4.84,NA,NA,NA,NA,NA,"P",2004,87,2,1
"B.J. Symons","Texas Tech",72,210,4.9,NA,NA,NA,NA,NA,"QB",2004,248,0,1
"Ben Utecht","Minnesota",78,249,4.8,NA,NA,NA,NA,NA,"TE",2004,300,0,0
"Brad Lekkerkerker","California-Davis",79,317,5.36,27.5,23,102,7.94,4.71,"OT",2004,300,0,0
"Brandon Everage","Oklahoma",72,194,4.55,NA,NA,NA,NA,NA,"S",2004,300,0,0
"Brett Pierce","Stanford",77,250,4.95,27,19,103,7.13,4.37,"TE",2004,300,0,0
"Bryan Hickman","Kansas State",72,231,4.68,32.5,26,106,7.38,4,"OLB",2004,300,0,0
"Ben Hartsock","Ohio State",76,263,4.8,35,23,117,7.1,3.98,"TE",2004,68,3,1
"Ben Roethlisberger","Miami (OH)",77,241,4.75,NA,NA,NA,NA,NA,"QB",2004,11,129,1
"Ben Troupe","Florida",76,265,4.65,NA,NA,NA,NA,NA,"TE",2004,40,9,1
"Ben Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,32,44,1
"Bernard Berrian","Fresno State",73,183,4.58,38,NA,128,7.34,4.18,"WR",2004,78,34,1
"Bo Lacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,177,0,1
"Bo Schobel","TCU",77,271,4.8,32.5,25,109,6.94,4.38,"DE",2004,103,4,1
"Bob Sanders","Iowa",68,204,4.35,41.5,15,128,6.7,3.91,"S",2004,44,33,1
"Bobby McCray","Florida",78,255,4.62,33.5,27,NA,NA,NA,"DE",2004,249,25,1
"Bradlee Van Pelt","Colorado State",74,231,4.98,33.5,NA,115,6.89,4.11,"QB",2004,250,1,1
"Brandon Chillar","UCLA",75,253,4.71,33,23,115,NA,4.08,"OLB",2004,130,25,1
"Brandon Miree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,247,1,1
"Brian Rimpf","East Carolina",78,319,5.41,28,31,105,7.97,4.66,"OT",2004,246,4,1
"Bruce Perry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,242,1,1
"Bruce Thornton","Georgia",70,197,4.5,37.5,NA,122,NA,NA,"CB",2004,121,5,1
"Casey Clausen","Tennessee",75,223,4.95,NA,NA,NA,NA,NA,"QB",2004,300,0,0
"Cedric Hilliard","Notre Dame",73,307,5.17,29,26,110,8.22,4.75,"DT",2004,300,0,0
"Chad Pugh","TCU",75,321,5.38,25,19,98,8.17,4.85,"DT",2004,300,0,0
"Chris Collins","Mississippi",73,201,4.69,35,NA,112,NA,NA,"WR",2004,300,0,0
"Clarence Farmer","Arizona",72,231,4.68,34.5,25,120,7.44,4.25,"RB",2004,300,0,0
"Curtis DeLoatch","North Carolina A&T",74,214,4.5,35.5,10,120,6.97,4.42,"CB",2004,300,0,0
